,block_number,floor,unit_number,price,area
0,436A,#02,1539,"$436,000",113
1,436A,#03,1539,"$442,900",113
2,436A,#04,1539,"$449,800",113
3,436A,#05,1539,"$456,700",113
4,436A,#06,1539,"$461,300",113
5,436A,#07,1539,"$465,900",113
6,436A,#08,1539,"$470,500",113
7,436A,#09,1539,"$472,400",113
8,436A,#10,1539,"$474,300",113
9,436A,#11,1539,"$476,200",113
10,436A,#12,1539,"$478,100",113
11,436A,#13,1539,"$480,000",113
12,436A,#14,1539,"$481,900",113
13,436A,#15,1539,"$483,800",113
14,436A,#16,1539,"$485,700",113
15,436A,#17,1539,"$487,600",113
16,436A,#18,1539,"$487,600",113
17,436A,#02,1541,"$449,100",116
18,436A,#03,1541,"$456,200",116
19,436A,#04,1541,"$463,300",116
20,436A,#05,1541,"$470,400",116
21,436A,#06,1541,"$475,200",116
22,436A,#07,1541,"$480,000",116
23,436A,#08,1541,"$484,800",116
24,436A,#09,1541,"$486,700",116
25,436A,#10,1541,"$488,600",116
26,436A,#11,1541,"$490,500",116
27,436A,#12,1541,"$492,400",116
28,436A,#13,1541,"$494,300",116
29,436A,#14,1541,"$496,200",116
30,436A,#15,1541,"$498,100",116
31,436A,#16,1541,"$500,000",116
32,436A,#17,1541,"$501,900",116
33,436A,#18,1541,"$501,900",116
34,436B,#02,1563,"$431,400",113
35,436B,#03,1563,"$438,300",113
36,436B,#04,1563,"$445,200",113
37,436B,#05,1563,"$452,100",113
38,436B,#06,1563,"$456,700",113
39,436B,#07,1563,"$465,900",113
40,436B,#08,1563,"$479,800",113
41,436B,#09,1563,"$481,700",113
42,436B,#10,1563,"$488,200",113
43,436B,#11,1563,"$494,700",113
44,436B,#12,1563,"$496,600",113
45,436B,#13,1563,"$498,500",113
46,436B,#14,1563,"$500,400",113
47,436B,#15,1563,"$500,400",113
48,436B,#02,1565,"$444,400",116
49,436B,#03,1565,"$451,500",116
50,436B,#04,1565,"$458,600",116
51,436B,#05,1565,"$465,700",116
52,436B,#06,1565,"$470,500",116
53,436B,#07,1565,"$480,000",116
54,436B,#08,1565,"$494,300",116
55,436B,#09,1565,"$496,200",116
56,436B,#10,1565,"$502,900",116
57,436B,#11,1565,"$509,500",116
58,436B,#12,1565,"$511,400",116
59,436B,#13,1565,"$513,300",116
60,436B,#14,1565,"$515,200",116
61,436B,#15,1565,"$515,200",116
62,436B,#02,1567,"$422,100",113
63,436B,#03,1567,"$429,000",113
64,436B,#04,1567,"$440,600",113
65,436B,#06,1567,"$456,700",113
66,436B,#07,1567,"$465,900",113
67,436B,#08,1567,"$475,100",113
68,436B,#09,1567,"$472,400",113
69,436B,#10,1567,"$474,300",113
70,436B,#11,1567,"$476,200",113
71,436B,#12,1567,"$478,100",113
72,436B,#13,1567,"$480,000",113
73,436B,#14,1567,"$481,900",113
74,436B,#15,1567,"$481,900",113
75,436B,#02,1569,"$431,400",113
76,436B,#03,1569,"$438,300",113
77,436B,#04,1569,"$445,200",113
78,436B,#05,1569,"$452,100",113
79,436B,#06,1569,"$456,700",113
80,436B,#07,1569,"$465,900",113
81,436B,#08,1569,"$475,100",113
82,436B,#09,1569,"$472,400",113
83,436B,#10,1569,"$474,300",113
84,436B,#11,1569,"$476,200",113
85,436B,#12,1569,"$478,100",113
86,436B,#13,1569,"$480,000",113
87,436B,#14,1569,"$481,900",113
88,436B,#15,1569,"$481,900",113
89,437A,#02,1571,"$422,100",113
90,437A,#03,1571,"$429,000",113
91,437A,#04,1571,"$435,900",113
92,437A,#05,1571,"$447,500",113
93,437A,#06,1571,"$452,100",113
94,437A,#07,1571,"$461,300",113
95,437A,#08,1571,"$470,500",113
96,437A,#09,1571,"$477,000",113
97,437A,#10,1571,"$478,900",113
98,437A,#11,1571,"$480,800",113
99,437A,#12,1571,"$482,700",113
100,437A,#13,1571,"$489,300",113
101,437A,#14,1571,"$495,800",113
102,437A,#15,1571,"$493,100",113
103,437A,#16,1571,"$495,000",113
104,437A,#17,1571,"$496,900",113
105,437A,#18,1571,"$498,800",113
106,437A,#19,1571,"$498,800",113
107,437A,#02,1573,"$422,100",113
108,437A,#03,1573,"$429,000",113
109,437A,#04,1573,"$435,900",113
110,437A,#06,1573,"$452,100",113
111,437A,#07,1573,"$461,300",113
112,437A,#08,1573,"$470,500",113
113,437A,#09,1573,"$477,000",113
114,437A,#10,1573,"$478,900",113
115,437A,#11,1573,"$480,800",113
116,437A,#12,1573,"$482,700",113
117,437A,#13,1573,"$489,300",113
118,437A,#14,1573,"$495,800",113
119,437A,#15,1573,"$493,100",113
120,437A,#16,1573,"$495,000",113
121,437A,#17,1573,"$496,900",113
122,437A,#18,1573,"$498,800",113
123,437A,#19,1573,"$498,800",113
124,437A,#02,1575,"$431,400",113
125,437A,#03,1575,"$438,300",113
126,437A,#04,1575,"$445,200",113
127,437A,#05,1575,"$452,100",113
128,437A,#06,1575,"$456,700",113
129,437A,#07,1575,"$461,300",113
130,437A,#08,1575,"$470,500",113
131,437A,#09,1575,"$477,000",113
132,437A,#10,1575,"$483,600",113
133,437A,#11,1575,"$490,100",113
134,437A,#12,1575,"$490,100",113
135,437A,#02,1577,"$444,400",116
136,437A,#03,1577,"$451,500",116
137,437A,#04,1577,"$458,600",116
138,437A,#05,1577,"$465,700",116
139,437A,#06,1577,"$470,500",116
140,437A,#07,1577,"$475,300",116
141,437A,#08,1577,"$484,800",116
142,437A,#09,1577,"$491,500",116
143,437A,#10,1577,"$498,100",116
144,437A,#11,1577,"$504,800",116
145,437A,#12,1577,"$504,800",116
146,437B,#02,1593,"$431,400",113
147,437B,#03,1593,"$438,300",113
148,437B,#04,1593,"$445,200",113
149,437B,#05,1593,"$452,100",113
150,437B,#06,1593,"$456,700",113
151,437B,#07,1593,"$461,300",113
152,437B,#08,1593,"$470,500",113
153,437B,#09,1593,"$477,000",113
154,437B,#10,1593,"$478,900",113
155,437B,#11,1593,"$480,800",113
156,437B,#12,1593,"$482,700",113
157,437B,#13,1593,"$484,600",113
158,437B,#14,1593,"$486,500",113
159,437B,#15,1593,"$488,400",113
160,437B,#16,1593,"$490,300",113
161,437B,#17,1593,"$492,200",113
162,437B,#18,1593,"$494,100",113
163,437B,#19,1593,"$496,000",113
164,437B,#20,1593,"$497,900",113
165,437B,#21,1593,"$499,800",113
166,437B,#22,1593,"$499,800",113
167,437B,#02,1595,"$444,400",116
168,437B,#03,1595,"$451,500",116
169,437B,#04,1595,"$458,600",116
170,437B,#05,1595,"$465,700",116
171,437B,#06,1595,"$470,500",116
172,437B,#07,1595,"$475,300",116
173,437B,#08,1595,"$484,800",116
174,437B,#09,1595,"$491,500",116
175,437B,#10,1595,"$493,400",116
176,437B,#11,1595,"$495,300",116
177,437B,#12,1595,"$497,200",116
178,437B,#13,1595,"$499,100",116
